Station Name,Street Address,PlugShare Adress,City,State,ZIP,EV Network,EV Network (for NON-Networked),Latitude,Longitude,ID,EV L2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,PlugShare Info,Combo P,CHAdeMO P,Combo P (network),CHAdeMO P (network),Combo #,CHAdeMO #,Notes,Notes from Network's website,FixedChargingPrice,ChargingUnit,ChargingValue ($),FixedParkingPrice,ParkingUnit,ParkingValue,Nissan==Free,Limit (min),Maximum Price ($),
Walgreens Store #7677,1502 Lake Tapps Parkway SE,,Auburn,WA,98092,Blink Network,,47.245269,-122.206909,96505,2,2,CHADEMO J1772,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",Fast Charging Blink Members: $0.49 per kwh Blink Guests: $0.59 per kwh,,,,,,,,,0,kwh,0.59,0,min,0,1,,,
Tahoma Market (I-5 Exit 137),6006 Pacific Highway East,,Fife,WA,98424,Blink Network,,47.24198,-122.348098,96628,4,2,CHADEMO J1772,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",Fast Charging Blink Members: $0.49 per kwh Blink Guests: $0.59 per kwh (Nissan No Charge To Charge),,,,,,,,,0,kwh,0.59,0,min,0,1,,,
DC CORRIDOR,6000 16th Ave SW,,Seattle,WA,98106,ChargePoint Network,,47.547708,-122.3527083,96763,,2,CHADEMO J1772COMBO,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",DCFC $4.95 +.20 per min. ChargePoint card or app is required.,,,,,,,,,4.95,min,0,0,min,0.2,0,,20,
DC CORRIDOR,9600 College Way N,,Seattle,WA,98103,ChargePoint Network,,47.6992271,-122.3346258,98770,,2,CHADEMO J1772COMBO,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",No such station on PlugShare,,,,,,,,,4.95,min,0,0,min,0.2,0,,20,
Greenlots - 63120,200 SW Grady Way,,Renton,WA,98057,Greenlots,,47.47077179,-122.2202072,99059,,2,CHADEMO J1772COMBO,"DC Fast: $3.50 per hour, minimum payment of $3.50, maximum payment of $30.00","$3.50/hour. Minimum fee might be $3.50 per session. Maximum session length shows as one hour, but may be more.",,,,,,,,,0,min,0.058,0,min,0,0,,30,
Greenlots - 63129,111 Valley Ave NE,,Puyallup,WA,98372,Greenlots,,47.20663834,-122.2922287,99067,,2,CHADEMO J1772COMBO,"DC Fast: $10.00 per hour, minimum payment of $3.00, maximum payment of $30.00",$10/hour through Greenlots,,,,,,,,,0,min,0.167,0,min,0,0,,30,
Greenlots - 63132,7230 S Tacoma Way,,Tacoma,WA,98409,Greenlots,,47.19060898,-122.4844208,99070,,2,CHADEMO J1772COMBO,"DC Fast: $7.00 per hour, maximum payment of $30.00",$7 per hour,,,,,,,,,0,min,0.117,0,min,0,0,,30,
Greenlots - 63135,17001 Aurora Ave N,,seattle,WA,98133,Greenlots,,47.75381088,-122.3465042,99073,,2,CHADEMO J1772COMBO,"DC Fast: $5.00 per hour, maximum payment of $20.00",$5hr / $0.083 cents minute,,,,,,,,,0,min,0.083,0,min,0,0,,20,
Greenlots - 52031,E 6th St,,Rosalia,WA,99170,Greenlots,,47.23467255,-117.3700638,99183,2,2,CHADEMO J1772 J1772COMBO,Level 2: $0.00 per kWh,"DCFC $.35 KWh, .50 minimum + 5% fee",,,,,,,,,0,kwh,0.35,0,min,0,0,,25,
Greenlots - 52084,500 N Cedar St,,Spokane,WA,99201,Greenlots,,47.662197,-117.431889,99263,2,2,CHADEMO J1772 J1772COMBO,Level 2: Free,"Doesn’t charge per kWh used. High power costs $0.35 per kWh, minimum $0.50, max $25.00",,,,,,,,,0,kwh,0.35,0,min,0,0,,25,
Greenlots - 43142,150 E Spring St.,,Pullman,WA,99163,Greenlots,,46.728904,-117.176165,99277,2,2,CHADEMO J1772 J1772COMBO,"DC Fast: $0.35 per kWh, minimum payment of $0.50, maximum payment of $25.00",J1772 is the only station that is free.,,,,,,,,,0,kwh,0.35,0,min,0,0,,25,
Greenlots - 53013,E. Mission Ave,,Liberty Lake,WA,99019,Greenlots,,47.67052841,-117.1032639,99280,2,2,CHADEMO J1772 J1772COMBO,"DC Fast: $0.35 per kWh, minimum payment of $0.50, maximum payment of $25.00",No info about DCFC price on PlugShare,,,,,,,,,0,kwh,0.35,0,min,0,0,,25,
Greenlots - 53004,2535 16th Ave S,,Seattle,WA,98144,Greenlots,,47.579971,-122.312333,99282,,4,CHADEMO J1772COMBO,"DC Fast: $0.43 per kWh, maximum payment of $30.00",$0.43/kwh,,,,,,,,,0,kwh,0.43,0,min,0,0,,30,
Greenlots - 43156,2901 Southridge Blvd,,Kennewick,WA,99337,Greenlots,,46.181372,-119.184406,99296,1,2,CHADEMO J1772 J1772COMBO,DC Fast: $21.00 per hour,DC FC: 35¢/minute prorated. Requires Greenlots card/app to access,,,,,,,,,0,min,0.35,0,min,0,0,,,
Greenlots - 112472U,269-299 N Main St,,Ellensburg,WA,98926,Greenlots,,46.994109,-120.548798,99297,1,2,CHADEMO J1772 J1772COMBO,Level 2: $1.50 per hour,"DC FC: $21/hour, 35¢/minute prorated. Requires Greenlots card/app to access",,,,,,,,,0,min,0.35,0,min,0,0,,,
Benton Public Utility District - Southridge,2921 Southridge Blvd,,Kennewick,WA,99336,Non-Networked,?,46.179735,-119.188128,99358,1,1,CHADEMO J1772 J1772COMBO,"Level 2: $1.25 per hour, DC fast: $0.25 per minute",No such station on PlugShare,,,,,,,,,0,kwh,0.59,0,min,0,,,,
DC CORRIDOR,338 Weller St Bridge,98104 not 98134,Seattle,WA,98134,ChargePoint Network,,47.5974028,-122.3304456,99591,,8,CHADEMO J1772COMBO,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",DCFast- $4.95 +.20 cents per min. CP card or app is required. ,,,,,,,,,4.95,min,0,0,min,0.2,0,,20,
Bellevue College - DCFC,3000 Landerholm Circle SE,3036 Snoqualamie River Road (98007),Bellevue,WA,98007,Blink Network,,47.584996,-122.150454,99920,,2,CHADEMO,Free,No info about DCFC price on PlugShare,,,,,,,,,0,kwh,0.49,0,min,0,1,,,
LeMay-America's Car Museum,2702 E D St,,Tacoma,WA,98421,eVgo Network,,47.234898,-122.429536,100242,2,2,CHADEMO J1772 J1772COMBO,,"For best pricing, register with EVgo using the EVgo App or at evgo.com ((Nissan No Charge To Charge)",,,50,50,,,,,0,min,0.29,0,min,0,1 (LEAF ONLY),45,,
DC CORRIDOR,9800 4th Ave NE,,Seattle,WA,98115,ChargePoint Network,,47.700101,-122.32406,103573,,4,CHADEMO J1772COMBO,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",DCFastCh$4.95 + .20per minChargePoint card ,,,,,,,,,4.95,min,0,0,min,0.2,0,,20,
Greenlots - 53027,10810 W. Westbow Road,99224 not 99201,Spoakane,WA,99201,Greenlots,,47.58996964,-117.5658417,103577,,2,CHADEMO J1772COMBO,"DC Fast: $0.35 per kWh, minimum payment of $0.50, maximum payment of $25.00",$0.35 kWh DCQC,,,,,,,,,0,kwh,0.35,0,min,0,0,,25,
Greenlots - 43158,51 Firing Center Rd,,Yakima,WA,98901,Greenlots,,46.677105,-120.478546,103581,1,2,CHADEMO J1772 J1772COMBO,DC Fast: $21.00 per hour,"DC Fast charge$21hr, 35¢/minute prorated-",,,,,,,,,0,min,0.35,0,min,0,0,,,
Greenlots - 43163,2411 W Court St,,pasco,WA,99301,Greenlots,,46.241729,-119.124176,103586,1,2,CHADEMO J1772 J1772COMBO,DC Fast: $21.00 per hour,"DC FC: $21/hour, 35¢/minute prorated (Requires Greenlots card/app to access)",,,,,,,,,0,min,0.35,0,min,0,0,,,
Greenlots - 53017,438 E Hasting Rd.,,Spokane,WA,99218,Greenlots,,47.768802,-117.401944,103612,2,2,CHADEMO J1772 J1772COMBO,"DC Fast: $0.35 per kWh, minimum payment of $0.50, maximum payment of $25.00",No info about DCFC price on PlugShare,,,,,,,,,0,kwh,0.35,0,min,0,0,,25,
Walgreens Store #7700,34008 Hoyt Rd. SW,,Federal Way,WA,98023,Blink Network,,47.2968474,-122.3814568,104165,2,2,CHADEMO J1772,"Level 2: $0.49 per kWh, DC Fast: $0.59 per kWh",Fast Charging Blink Members: $0.49 per kwh Blink Guests: $0.59 per kwh,,,,,,,,,0,kwh,0.59,0,min,0,1,,,
DC CORRIDOR,11536 Lake City Way NE,11550 Lake City Way NE,Seattle,WA,98125,ChargePoint Network,,47.7132239,-122.2984152,104285,,2,CHADEMO J1772COMBO,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",DCFC $4.95 + .20per min. 1 hour max. ChargePoint card or app is requi,,,,,,,,,4.95,min,0,0,min,0.2,0,,20,
DC CORRIDOR,200 2nd Ave N,,Seattle,WA,98109,ChargePoint Network,,47.619436,-122.351371,104286,,2,CHADEMO J1772COMBO,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",,,,,,,,,,4.95,min,0,0,min,0.2,0,,20,
Harvest Chevrolet,1600 E Yakima Ave,,Yakima,WA,98901,Non-Networked,Chevrolet,46.604239,-120.481583,105361,2,1,J1772 J1772COMBO,Free,No info about DCFC price on PlugShare,24,,,,,,,,0,min,0,0,min,0,0,,,
Cascade Chevrolet,148 Easy St,,Wenatchee,WA,98801,Non-Networked,Chevrolet,47.467463,-120.336918,105362,1,1,J1772 J1772COMBO,Free,Free,24,,,,,,,,0,min,0,0,min,0,0,,,
Gateway Transit Center,128 E Railroad Ave,111 E Front St,Port Angeles,WA,98362,Non-Networked,SemaCharge,48.119672,-123.431005,105363,,1,CHADEMO J1772COMBO,Free,"$1.50/Hr for first 3 hours, $5.00/Hr afterwards",,,,,,,,,0,min,0.025,0,min,0,0,180,180,
Greenlots - 43157,811 Hiway 970,,Cle Elum,WA,98922,Greenlots,,47.18890381,-120.9030991,118061,,2,CHADEMO J1772COMBO,DC Fast: $21.00 per hour,"Standard Greenlots prices, currently $0.35/minute for DC Fast. (1 CCS/SAE and 1 CHAdeMO)",,,,,,,,,0,min,0.35,0,min,0,0,,,
JLR BELLEVUE,13817 NE 20th St,,Bellevue,WA,98005,ChargePoint Network,,47.626541,-122.155852,119039,1,1,J1772 J1772COMBO,Free,No info about DCFC price on PlugShare,24,,,,,,,,0,min,0,0,min,0,0,,,
DC CORRIDOR,200 2nd Ave,,Seattle,WA,98109,ChargePoint Network,,47.6195776,-122.3509502,121663,,2,CHADEMO J1772COMBO,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours",Parking Rates**: 0–3 Hrs – $9 3-5 Hrs – $11 5-10 Hrs – $13 after 4 p.m. – $7 (7-2019: $4.95 minimum & $20 per 2 hours),,,,,,,,,4.95,min,0,0,min,0.2,0,,20,
"Walmart 2539 - Spokane Valley, WA",15727 E Broadway Ave,,Spokane Valley,WA,99037,Electrify America,,47.665596,-117.190123,121703,,8,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
North Bend Premium Outlets,461 S. Fork Avenue,,North Bend,WA,98045,Electrify America,,47.491288,-121.793559,121704,,4,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
Taco Bell Ellensburg,1406 Canyon Road,,Ellensburg,WA,98926,Electrify America,,46.978901,-120.543425,121705,,4,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
Walmart 2947 Vancouver,9000 NE HIGHWAY 99,,Vancouver,WA,98665,Electrify America,,45.687387,-122.660913,121709,,6,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
"Walmart 5195 - Everett, WA",11400 Hwy. 99,,Everett,WA,98204,Electrify America,,47.893501,-122.256001,122743,1,3,CHADEMO J1772 J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
