Station Name,Street Address,PlugShare Adress,City,State,ZIP,EV Network,EV Network (for NON-Networked),Latitude,Longitude,ID,EV L2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,PlugShare Info,Combo P,CHAdeMO P,Combo P (network),CHAdeMO P (network),Combo #,CHAdeMO #,Notes,Notes from Network's website,FixedChargingPrice,ChargingUnit,ChargingValue ($),FixedParkingPrice,ParkingUnit,ParkingValue,Nissan==Free,Limit (min),Maximum Price ($),
LONE WOLF H-D,19011 E Cataldo Ave,,Spokane Valley,WA,99016,ChargePoint Network,,47.6674691,-117.1493042,143152,,1,J1772COMBO,Free,Only Level 2 available in station (according to PlugShare),,,,,0,0,Harley-Chargepoint free,,0,min,0,0,min,0,0,,,
HARLEY1,5711 188th St SW,,Lynnwood,WA,98037,ChargePoint Network,,47.828644,-122.310875,143212,,1,J1772COMBO,"Pricing is based on length of time and kWh used. $0 per hour, and $1 per additional hour, $0.16 per kWh",$5/30mins,,,,,,,Harley-Chargepoint free,,0,kwh,0.16,0,min,0.0167,0,,,
DESTINATION,2302 Pacific Hwy E,,Fife,WA,98424,ChargePoint Network,,47.24293,-122.39677,143215,,1,J1772COMBO,"Pricing is based on length of time. $0.1 per hour for the first 2 hours, and $0.2 per additional hour",No info about DCFC price on PlugShare,,,,,,,Harley-Chargepoint free,"First two hours $0.1/min, therafter $0.2/min ",0,min,0,0,min,0.1,0,120,,
EASTSIDE HD,2301 140th Ave NE,,Bellevue,WA,98005,ChargePoint Network,,47.630585,-122.15664,143313,,1,J1772COMBO,"Pricing is based on length of time and kWh used. $0 per hour, and $1 per additional hour, $0.16 per kWh",$1 per session. $0.16 per kWh. $1 per minutes while charging and after 15 minutes after charging stops.,,,,,,,,,1,min,0,0,min,0,0,,,
NWHD CHARGING,8000 Freedom Ln NE,,Lacey,WA,98516,ChargePoint Network,,47.0616742,-122.7708595,143374,,1,J1772COMBO,Free,No info about DCFC price on PlugShare (apparently not activated yet),22,,,,,,,,0,min,0,0,min,0,0,,,
CHARLESTON BASE,200 Charleston Blvd,,Bremerton,WA,98312,ChargePoint Network,,47.5607013,-122.6541514,143563,,2,CHADEMO J1772COMBO,Free,No such station on PlugShare,,,,,,,,,0,min,0,0,min,0,?,?,?,NO SUCH STATION ON PLUGSHARE AND NETWORK'S WEBSITE
Chehalis Commerce District,1701 NW Louisiana Ave,,Chehalis,WA,98532,eVgo Network,,46.67925,-122.975256,143835,2,1,CHADEMO J1772 J1772COMBO,,"For best pricing, register with EVgo using the EVgo App or at evgo.com",,,50,50,,,,,0,min,0.29,0,min,0,1 (LEAF ONLY),45,,
Greenlots - 53014,721 N Cincinnati,,Spokane,WA,99201,Greenlots,,47.66310501,-117.4004898,143939,,2,CHADEMO J1772COMBO,DC Fast: $0.35 per kWh,"Description: DCFC costs $0.35 per kWh, minimum $0.50, max $25.00.",,,,,,,,,0,kwh,0.35,0,min,0,0,,25,
Dupont Center - Ace Hardware,1585 McNeil St,,DuPont,WA,98327,eVgo Network,,47.092582,-122.644253,143969,2,4,CHADEMO J1772 J1772COMBO,,No info about DCFC price on PlugShare,,,50,50,,,,,0,min,0.29,0,min,0,1 (LEAF ONLY),45,,
"Walmart 3053 - Everett, WA",1605 SE Everett Mall Way,,Everett,WA,98208,Electrify America,,47.913486,-122.213314,143970,,10,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
Cow Creek Mercantile,1611 Smittys Blvd.,,Ritzville,WA,99169,Electrify America,,47.119482,-118.362709,143971,,4,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
EDMONDSNISSAN,"24325 Highway 99 Edmonds, WA. 98026",,Edmonds,WA,98026,ChargePoint Network,,47.778256,-122.3448322,144074,,2,CHADEMO J1772COMBO,$6 per session,CCS charger is flat rate $6 per session.,,,,,?,?,,,6,min,0,0,min,0,1 (LEAF ONLY),,,
"Walmart 5462 - Vancouver, WA",430 SE 192nd Ave.,,Vancouver,WA,98683,Electrify America,,45.617755,-122.478138,144090,1,3,CHADEMO J1772 J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
SeaTac Cell Phone Parking Lot,2623 S 170th St,98158 not 98188,Seattle,WA,98188,eVgo Network,,47.450258,-122.299448,144984,,2,CHADEMO J1772COMBO,,No info about DCFC price on PlugShare,,,50,50,,,,,0,min,0.29,0,min,0,1 (LEAF ONLY),45,,
DC CORRIDOR,750 N 50th St,,Seattle,WA,98103,ChargePoint Network,,47.6654703,-122.3502919,145151,,2,CHADEMO J1772COMBO,"$0.2 per hour, minimum payment of $4.95, maximum payment of $20, $4.95 per session, maximum session time is 2 hours","DC Fast - Previously a paid station but now disconnected from the ChargePoint network, and free",,,50,50,,,,,4.95,min,0,0,min,0.2,0,,20,
Greenlots - 43164,"138–306 S Columbia Ave, Connell, WA 99326, United States",,Connell,WA,99326,Greenlots,,46.66012573,-118.8611832,145586,,2,CHADEMO J1772COMBO,DC Fast: $21.00 per hour,No info about DCFC price on PlugShare,,,,,,,,,0,min,0.35,0,min,0,0,,,
"Target T1331 - Lake Stevens, WA",9601 Market Place,,Lake Stevens,WA,98258,Electrify America,,47.998233,-122.100638,145684,1,6,CHADEMO J1772 J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
JET CITY HARLEY,3715 E Valley Rd,,Renton,WA,98057,ChargePoint Network,,47.4463797,-122.2196648,146804,,1,J1772COMBO,Free,No info about DCFC price on PlugShare,,,,,,,,Parking Free for First hour Thereafter $0.1/min,0,kwh,0.1,0,min,0,0,,,
Simon Northgate Mall,401 NE Northgate Way,,Seattle,WA,98125,Electrify America,,47.708457,-122.324887,146948,1,3,CHADEMO J1772 J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
